Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 16.67      0.02     0.02   138342     0.00     0.00  SigHandler(int)
 16.67      0.04     0.02      436     0.05     0.05  ServerThread::isFlooder(int&, sockaddr_storage const&)
 16.67      0.06     0.02      410     0.05     0.05  IpP2Country::Find(unsigned char const*)
  8.33      0.07     0.01    45212     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::push_back(char)
  8.33      0.08     0.01     2950     0.00     0.00  HashManager::FindUser(char const*, unsigned long) const
  8.33      0.09     0.01     2604     0.00     0.00  ScriptManager::Arrival(DcCommand*, unsigned char)
  8.33      0.10     0.01      369     0.03     0.03  ScriptOnTimer(unsigned long const&)
  8.33      0.11     0.01        1    10.00    10.00  IpP2Country::LoadIPv4()
  8.33      0.12     0.01                             _PROCEDURE_LINKAGE_TABLE_
  0.00      0.12     0.00    89342     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_get_insert_unique_pos(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
